sequence,jobId,sourceMime,w,h,fps,sourceSize,hdr,terminal,verdict,verified,plannedTargetRatio,pixelProvenRatio,probedRatios,probeDetail,probeWindowScores,certWindowScores,savedBytes,savedPct,elapsedMs,precedingCooldownMs,thermalStart,thermalEnd
90,job_f99cb7dc5054,video/hevc,1440,2560,60,53591602,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.75,0.85,0.95,0.97",no candidate ratio passed,,,0,0,4069,0,warm,warm
91,job_6fb49135168a,video/hevc,2160,3840,60,40639878,True,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,506,0,warm,warm
92,job_e67baf41e624,video/hevc,3840,2160,60,70329157,True,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,918,0,warm,warm
93,job_f35f4514cd40,video/hevc,2560,1440,60,202427428,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.75,0.85,0.95,0.97",no candidate ratio passed,,,0,0,5938,0,warm,warm
94,job_7aa6e8718179,video/hevc,2560,1440,60,548522008,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.75,0.85,0.95,0.97",no candidate ratio passed,,,0,0,8746,0,warm,warm
95,job_2566f95870d2,video/hevc,1440,2560,60,51540072,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.75,0.85,0.95,0.97",no candidate ratio passed,,,0,0,4004,0,warm,warm
96,job_cef7b6a9c6e1,video/hevc,2160,3840,60,49491112,True,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,369,0,warm,warm
97,job_7b02feda91b2,video/hevc,1080,1920,240,57717350,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,1124,0,warm,warm
98,job_25d939087f71,video/avc,1080,1920,30,15740097,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.70,0.80,0.90,0.95",no candidate ratio passed,94.4/87.4/86.6,,0,0,10858,0,,
99,job_df2605dfb1b7,video/hevc,1080,1920,30,32986029,True,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,599,0,warm,warm
100,job_3b3536b136bb,video/hevc,4320,7680,30,98387999,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,"0.95,0.97",no candidate ratio passed,,,0,0,5411,0,warm,warm
101,job_055f3183f78f,video/hevc,2160,3840,60,145764347,True,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,1028,0,warm,warm
102,job_5fdb47ae675a,video/hevc,2160,3840,60,256720156,True,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.95,,,,,,0,0,1704,0,warm,warm
103,job_48f717f25718,video/avc,854,480,24,448526084,False,SKIPPED_WOULD_DEGRADE,,False,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,94.1/86.9/86.6,,0,0,3361,0,,
104,job_a6149386feb6,video/avc,854,480,25,285200468,False,SKIPPED_WOULD_DEGRADE,,False,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,95.2/85.9/84.9,,0,0,3527,0,,
105,job_669a01896c92,video/avc,854,480,30,298142964,False,REMUX_PREFERRED_BY_EVIDENCE,Remux Verified,True,0.97,,,"probes skipped: this profile class measured visible loss at every candidate in 3 consecutive recent ladders (skip 1/3, then re-probes)",,,0,0,44115,0,warm,warm
106,job_a33d8a008d52,video/avc,854,480,25,255208887,False,SKIPPED_WOULD_DEGRADE,,False,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,95.7/90.2/88.3,,0,0,3259,0,,
107,job_af4897eb0135,video/avc,270,480,50,85939217,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.70,0.80,0.90,0.95",no candidate ratio passed,84.5/78.0/77.6,,0,0,3044,0,,
108,job_3c437245d641,video/avc,854,480,30,275565536,False,REMUX_PREFERRED_BY_EVIDENCE,Remux Verified,True,0.97,,,"probes skipped: this profile class measured visible loss at every candidate in 3 consecutive recent ladders (skip 2/3, then re-probes)",,,0,0,34612,0,warm,warm
109,job_f18fea87c1d8,video/avc,1920,1080,25,227787374,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,92.0/78.7/77.9,,0,0,5010,0,,
110,job_b9c27b302d5a,video/avc,720,1280,60,24654635,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,86.8/69.7/66.6,,0,0,4948,0,,
111,job_7af196cdb81a,video/avc,1280,720,60,230382663,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,88.5/77.1/73.5,,0,0,5523,0,,
112,job_235496b9afdb,video/avc,464,240,25,31826351,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.97,,"0.90,0.95",no candidate ratio passed,,,0,0,13416,0,warm,warm
113,job_b92a72320927,video/avc,1920,1080,60,251555208,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,,,,0,0,25012,0,warm,warm
114,job_b199db508570,video/avc,960,540,20,53206039,False,SKIPPED_WOULD_DEGRADE,,False,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,93.1/86.2/86.2,,0,0,7049,0,,
115,job_0811e8b0e802,video/avc,1280,720,20,325671829,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.97,,,"probes skipped: this profile class measured visible loss at every candidate in 2 consecutive recent ladders (skip 3/3, then re-probes)",,,0,0,25022,0,warm,warm
116,job_20be07e7e8ab,video/avc,624,352,20,164328831,False,UNEXPECTED_REMUX,Remux Verified,True,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,,,0,0,19672,0,warm,warm
117,job_8af97c415815,video/avc,1280,720,30,141563548,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,"probes skipped: this profile class measured visible loss at every candidate in 2 consecutive recent ladders (skip 3/3, then re-probes)",,,0,0,13784,0,warm,warm
118,job_29a195acdcee,video/avc,202,360,25,4893248,False,SKIPPED_WOULD_DEGRADE,,False,0.97,,"0.90,0.95",no candidate ratio passed,82.5/77.0/76.9,,0,0,2261,0,,
119,job_f1a3322c5cfa,video/avc,1280,720,30,148518984,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.70,0.80,0.90,0.95",no candidate ratio passed,90.9/80.8/79.8,,0,0,8456,0,,
120,job_6fae4bbfcbf2,video/avc,704,1280,30,166950496,False,SKIPPED_WOULD_DEGRADE,,False,0.9,,"0.90,0.95",no candidate ratio passed,98.8/96.4/86.8;89.8/76.0/75.6,,0,0,5957,0,,
121,job_0a9c3d976cdb,video/avc,1280,720,30,175448035,False,ALREADY_HIGHLY_OPTIMIZED,Remux Verified,True,0.9,,,,,,0,0,34702,0,warm,warm
122,job_9f658245961a,video/avc,640,360,30,27862531,False,REMUX_PREFERRED_BY_EVIDENCE,Remux Verified,True,0.97,,,"probes skipped: this profile class measured visible loss at every candidate in 3 consecutive recent ladders (skip 3/3, then re-probes)",,,0,0,6709,0,warm,warm
123,job_891b6a1b9673,video/avc,852,480,30,289869434,False,REMUX_PREFERRED_BY_EVIDENCE,Remux Verified,True,0.97,,"0.70,0.80,0.90,0.95",no candidate ratio passed,,,0,0,37651,0,warm,warm
